ID,Smiles,pIC50
803,O=C(C(=O)c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,6.744727495
369,O=C(NC1=CC=C(O)C=C1)C2=CC=CC=C2B(O)O,6.744727495
787,O=C1C=C(Oc2ccc(F)cc2)c2ccccc2C1=O,6.739451627
118,O=C(CCCCCCCC)C(C=CC=C1O)=C1C2=CC3=CC=C(OC)C=C3O2,6.721246399
778,CCCCCC(=O)C(=O)CCCCC,6.714442691
QI-11,COC1=CC=CC=C1OC(N(CC)C)=O,6.714442691
647,COC(=O)/C(=N\Nc1ccc(C)cc1)C(=O)C(F)(F)F,6.713678286
BP-13,COC1=CC(/C=C/C(NC2CCN(CC3=CC=CC=C3)CC2)=O)=CC=C1OC(N(C)CC)=O,6.710188161
852,COc1ccc(OC2=CC(=O)C(=O)c3ccccc32)cc1,6.708853238
855,O=C1C=C(Oc2ccccc2)c2ccccc2C1=O,6.699404516
365,O=C(CCCCCC)C1=C(C=C(C2=CC(C(O)=O)=CC=C2O)O3)C3=CC=C1,6.698970004
QI-9,CC1=CC=C(OC(N(CC)C)=O)C(OC)=C1,6.692503962
352,COC1=CC=CC(OC(N(C)C)=O)=C1,6.689306688
BP-20,O=C(NC1CCN(CC2=CC=CC=C2)CC1)/C=C/C3=CC=C(OC(N(C)C)=O)C=C3,6.684029655
